event_id,event_type,source_user_id,target_user_id,created_at,content,interaction_velocity_5m,account_age_days,historical_report_rate,is_duplicate,historical_feedback_risk,label_risky_event,notification_text
evt-180,follow,u100,u200,2026-06-01 17:51:00.000,,1,681,0.22,0,1,1,u100 comenzo a seguirte
evt-179,follow,u183,u279,2026-06-01 17:47:43.000,,33,644,0.05,0,0,0,u183 comenzo a seguirte
evt-178,follow,u176,u268,2026-06-01 17:44:26.000,,20,607,0.19,0,0,0,u176 comenzo a seguirte
evt-177,follow,u169,u257,2026-06-01 17:41:09.000,,7,570,0.02,0,0,0,u169 comenzo a seguirte
evt-176,follow,u162,u246,2026-06-01 17:37:52.000,,39,533,0.16,0,1,1,u162 comenzo a seguirte
evt-175,follow,u155,u235,2026-06-01 17:34:35.000,,26,496,0.3,0,1,1,u155 comenzo a seguirte
evt-174,follow,u148,u224,2026-06-01 17:31:18.000,,13,459,0.13,0,0,0,u148 comenzo a seguirte
evt-173,follow,u141,u213,2026-06-01 17:28:01.000,,45,422,0.27,0,1,1,u141 comenzo a seguirte
evt-172,follow,u134,u202,2026-06-01 17:24:44.000,,32,385,0.1,0,0,0,u134 comenzo a seguirte
evt-171,follow,u127,u281,2026-06-01 17:21:27.000,,19,348,0.24,0,1,1,u127 comenzo a seguirte
evt-170,follow,u120,u270,2026-06-01 17:18:10.000,,6,311,0.07,0,0,0,u120 comenzo a seguirte
evt-169,follow,u113,u259,2026-06-01 17:14:53.000,,38,274,0.21,0,1,1,u113 comenzo a seguirte
evt-168,follow,u106,u248,2026-06-01 17:11:36.000,,25,237,0.04,0,0,0,u106 comenzo a seguirte
evt-167,follow,u189,u237,2026-06-01 17:08:19.000,,12,200,0.18,0,0,0,u189 comenzo a seguirte
evt-166,follow,u182,u226,2026-06-01 17:05:02.000,,44,163,0.01,0,1,1,u182 comenzo a seguirte
evt-165,follow,u175,u215,2026-06-01 17:01:45.000,,31,126,0.15,0,0,0,u175 comenzo a seguirte
evt-164,follow,u168,u204,2026-06-01 16:58:28.000,,18,89,0.29,0,1,1,u168 comenzo a seguirte
evt-163,follow,u161,u283,2026-06-01 16:55:11.000,,5,52,0.12,0,0,0,u161 comenzo a seguirte
evt-162,follow,u154,u272,2026-06-01 16:51:54.000,,37,15,0.26,0,1,1,u154 comenzo a seguirte
evt-161,follow,u147,u261,2026-06-01 16:48:37.000,,24,1474,0.09,0,0,0,u147 comenzo a seguirte
evt-160,follow,u140,u250,2026-06-01 16:45:20.000,,11,1437,0.23,0,1,1,u140 comenzo a seguirte
evt-159,follow,u133,u239,2026-06-01 16:42:03.000,,43,1400,0.06,0,1,1,u133 comenzo a seguirte
evt-158,follow,u126,u228,2026-06-01 16:38:46.000,,30,1363,0.2,0,0,0,u126 comenzo a seguirte
evt-157,follow,u119,u217,2026-06-01 16:35:29.000,,17,1326,0.03,0,0,0,u119 comenzo a seguirte
evt-156,follow,u112,u206,2026-06-01 16:32:12.000,,4,1289,0.17,0,0,0,u112 comenzo a seguirte
evt-155,follow,u105,u285,2026-06-01 16:28:55.000,,36,1252,0,0,1,0,u105 comenzo a seguirte
